date,beds,psf,area,price
2023-02-01,3,5.71,850,4800
2023-02-01,1,7.38,450,3100
2023-02-01,1,8.33,450,3500
2023-02-01,3,6.45,750,5000
2023-02-01,2,4.99,550,2900
2023-02-01,2,6.54,550,3800
2023-02-01,3,5.12,850,4300
2023-02-01,2,7.75,550,4500
2023-02-01,3,6.33,1150,7500
2023-02-01,3,6.4,950,6200
2023-02-01,1,8.33,450,3500
2023-02-01,3,6.19,750,4800
2023-02-01,1,8.33,450,3500
2023-02-01,1,6.9,450,2900
2023-02-01,1,7.86,450,3300
2023-02-01,3,5.12,850,4300
2023-02-01,1,7.02,450,2950
2023-02-01,3,5.37,950,5200
2023-02-01,2,5.68,550,3300
2023-02-01,2,7.23,550,4200
2023-02-01,2,6.37,550,3700
2023-01-01,1,6.8,450,3000
2023-01-01,2,6.88,550,4000
2023-01-01,1,6.55,450,2750
2023-01-01,2,6.07,850,4900
2023-01-01,3,6.19,750,4800
2023-01-01,2,5.44,750,4100
2023-01-01,2,6.69,850,5400
2023-01-01,2,5.55,850,4600
2023-01-01,3,4.3,1150,5000
2023-01-01,1,9.05,450,3800
2023-01-01,2,6.2,550,3600
2023-01-01,3,5.48,850,4600
2023-01-01,2,5.16,550,3000
2023-01-01,1,6.43,450,2700
2023-01-01,2,5.42,550,3150
2023-01-01,2,6.88,550,4000
2023-01-01,2,6.37,550,3700
2023-01-01,2,6.37,550,3700
2022-12-01,1,6.67,450,2800
2022-12-01,2,5.58,850,4500
2022-12-01,1,6.9,450,2900
2022-12-01,1,7.62,450,3200
2022-12-01,1,7.23,450,3500
2022-12-01,1,5.11,550,2700
2022-12-01,3,6.77,1150,7500
2022-12-01,1,4.55,550,2400
2022-12-01,2,4.65,750,3500
2022-12-01,2,6.88,550,4000
2022-12-01,1,6.9,450,2900
2022-12-01,1,7.62,450,3200
2022-12-01,2,6.2,550,3600
2022-12-01,1,7.62,450,3200
2022-12-01,1,8.1,450,3400
2022-11-01,1,6.51,550,3500
2022-11-01,1,5.57,550,3300
2022-11-01,1,7.14,450,3000
2022-11-01,3,4.08,1150,4700
2022-11-01,3,5.68,950,5500
2022-11-01,1,6.79,450,2850
2022-11-01,1,7.71,450,3400
2022-11-01,1,6.9,450,2900
2022-11-01,3,4.32,750,3350
2022-11-01,2,4.82,550,2800
2022-11-01,2,5.85,550,3400
2022-11-01,2,5.51,550,3200
2022-11-01,2,5.51,550,3200
2022-11-01,1,6.43,450,2700
2022-10-01,1,7.62,450,3200
2022-10-01,1,7.14,450,3000
2022-10-01,1,7.86,450,3300
2022-10-01,1,6.12,450,2700
2022-10-01,1,6.67,450,2800
2022-10-01,4,3.85,1550,5800
2022-10-01,1,6.69,550,3600
2022-10-01,3,6.06,750,4700
2022-10-01,1,6.13,550,3300
2022-10-01,1,6.9,450,2900
2022-10-01,3,4.7,950,4400
2022-10-01,1,6.19,450,2600
2022-10-01,1,6.19,450,2600
2022-10-01,1,7.14,450,3000
2022-10-01,3,5.36,850,4500
2022-10-01,1,5.95,450,2500
2022-10-01,2,5.68,550,3300
2022-09-01,1,7.14,450,3000
2022-09-01,1,5.95,450,2500
2022-09-01,1,6.19,450,2600
2022-09-01,1,5.69,550,3000
2022-09-01,2,4.71,750,3550
2022-09-01,1,6.35,450,2800
2022-09-01,3,5.42,750,4200
2022-09-01,1,6.69,450,2950
2022-09-01,2,5.6,850,4700
2022-09-01,4,3.76,1550,5750
2022-09-01,2,4.65,550,2700
2022-09-01,1,5.95,450,2500
2022-09-01,3,5.6,850,4700
2022-09-01,1,5.71,450,2400
2022-09-01,3,3.8,1150,4500
2022-09-01,1,5.71,450,2400
2022-08-01,1,5.9,450,2600
2022-08-01,1,7.14,450,3000
2022-08-01,1,6.35,450,2800
2022-08-01,1,7.62,450,3200
2022-08-01,2,5.85,550,3400
2022-08-01,3,6.55,850,5500
2022-08-01,3,3.73,1250,4500
2022-08-01,3,5.12,1150,5900
2022-08-01,1,6.12,450,2700
2022-08-01,1,5.2,550,2800
2022-08-01,1,5.71,450,2400
2022-08-01,1,7.38,450,3100
2022-08-01,1,6.19,450,2600
2022-08-01,1,7.14,450,3000
2022-08-01,1,5.83,450,2450
2022-08-01,1,6.67,450,2800
2022-08-01,2,4.82,550,2800
2022-08-01,3,4.29,850,3600
2022-08-01,1,6.67,450,2800
2022-08-01,1,5.71,450,2400
2022-07-01,1,5.71,450,2400
2022-07-01,1,6.67,450,2800
2022-07-01,1,5.95,450,2500
2022-07-01,1,5.02,550,2700
2022-07-01,2,5.98,750,4500
2022-07-01,3,4.75,950,4600
2022-07-01,2,4.5,750,3388
2022-07-01,3,4.33,1150,4800
2022-07-01,3,3.73,1250,4500
2022-07-01,3,4.52,1150,5200
2022-07-01,3,5.06,850,4250
2022-07-01,1,6.8,450,3000
2022-07-01,2,6.02,550,3500
2022-07-01,2,5.96,850,5000
2022-07-01,2,3.47,850,2800
2022-07-01,3,5.16,750,4000
2022-07-01,2,5.16,550,3000
2022-07-01,4,4.18,1550,6300
2022-07-01,3,4.48,1150,5300
2022-07-01,1,7.14,450,3000
2022-07-01,1,5.48,450,2300
2022-07-01,3,4.52,850,3800
2022-07-01,2,5.16,550,3000
2022-06-01,1,6.67,450,2800
2022-06-01,1,5.95,450,2500
2022-06-01,1,6.19,450,2600
2022-06-01,1,5.83,450,2450
2022-06-01,1,5.58,550,3000
2022-06-01,1,6.43,450,2700
2022-06-01,1,5.22,450,2300
2022-06-01,1,5.71,450,2400
2022-06-01,2,2.76,1150,3300
2022-06-01,3,4.4,850,3700
2022-06-01,1,5.95,450,2500
2022-06-01,1,6.67,450,2800
2022-06-01,1,5.48,450,2300
2022-06-01,1,5.95,450,2500
2022-06-01,1,5.48,450,2300
2022-06-01,1,5.48,450,2300
2022-05-01,3,4.06,1150,4500
2022-05-01,1,5.48,450,2300
2022-05-01,2,5.16,550,3000
2022-05-01,1,7.38,450,3100
2022-05-01,1,5.9,450,2600
2022-05-01,1,5.49,550,2900
2022-05-01,1,6.24,450,2750
2022-05-01,1,5.67,450,2500
2022-05-01,3,5.16,750,4000
2022-05-01,2,4.33,850,3500
2022-05-01,3,4.07,1250,5000
2022-05-01,2,4.39,550,2550
2022-05-01,2,5.34,550,3100
2022-05-01,1,5.95,450,2500
2022-05-01,2,5.68,550,3300
2022-05-01,3,4.76,850,4000
2022-05-01,3,4.76,850,4000
2022-05-01,2,5.77,550,3350
2022-05-01,3,4.52,750,3500
2022-04-01,3,4.4,850,3700
2022-04-01,2,5.34,550,3100
2022-04-01,1,5.95,450,2500
2022-04-01,1,5.71,450,2400
2022-04-01,1,6.8,450,3000
2022-04-01,1,5.36,450,2250
2022-04-01,1,6.67,450,2800
2022-04-01,1,5.48,450,2300
2022-04-01,1,4.99,450,2200
2022-04-01,1,6.19,450,2600
2022-04-01,2,5.36,850,4500
2022-04-01,1,4.93,550,2650
2022-04-01,1,6.32,550,3400
2022-04-01,1,5.83,450,2450
2022-04-01,2,3.6,1150,4300
2022-04-01,1,3.97,550,2350
2022-04-01,1,6.43,450,2700
2022-04-01,1,5.48,450,2300
2022-04-01,2,4.3,550,2500
2022-04-01,1,5.48,450,2300
2022-04-01,1,5.95,450,2500
2022-04-01,1,6.67,450,2800
2022-04-01,1,5.24,450,2200
2022-04-01,2,4.48,550,2600
2022-04-01,3,4.77,750,3700
2022-04-01,1,5.95,450,2500
2022-04-01,2,4.48,550,2600
2022-04-01,1,5.71,450,2400
2022-04-01,1,6.9,450,2900
2022-04-01,1,5.95,450,2500
2022-04-01,2,4.82,550,2800
2022-03-01,1,4.39,550,2600
2022-03-01,2,3.79,550,2200
2022-03-01,1,5.95,450,2500
2022-03-01,1,5.11,550,2700
2022-03-01,2,4.82,550,2800
2022-03-01,2,5.16,550,3000
2022-03-01,1,5.24,450,2200
2022-03-01,3,4.44,950,4300
2022-03-01,2,5.01,850,4200
2022-03-01,2,4.99,550,2900
2022-03-01,1,5.48,450,2300
2022-03-01,1,6.9,450,2900
2022-03-01,1,4.84,550,2550
2022-03-01,2,3.96,850,3200
2022-03-01,1,5.48,450,2300
2022-03-01,1,5.95,450,2500
2022-03-01,2,4.99,550,2900
2022-03-01,3,5.03,750,3900
2022-03-01,2,4.65,550,2700
2022-03-01,3,4.52,750,3500
2022-03-01,2,5.16,550,3000
2022-03-01,1,5.95,450,2500
2022-03-01,3,4.52,750,3500
2022-02-01,1,5.67,450,2500
2022-02-01,1,4.55,550,2450
2022-02-01,3,4.49,950,4200
2022-02-01,2,4.82,550,2800
2022-02-01,1,5.44,450,2400
2022-02-01,1,5.11,550,2750
2022-02-01,1,5.48,450,2300
2022-02-01,3,3.89,1150,4600
2022-02-01,1,5.1,450,2250
2022-02-01,1,6.19,450,2600
2022-02-01,1,5.95,450,2500
2022-02-01,2,4.3,550,2500
2022-02-01,2,4.82,550,2800
2022-02-01,1,5.12,450,2150
2022-02-01,2,4.91,550,2850
2022-02-01,2,4.17,550,2425
2022-02-01,1,4.76,450,2000
2022-02-01,1,5.71,450,2400
2022-02-01,3,3.67,1250,4500
2022-02-01,2,4.13,550,2400
2022-01-01,2,4.91,750,3700
2022-01-01,2,4.65,550,2700
2022-01-01,1,5.22,450,2300
2022-01-01,3,4.76,850,4000
2022-01-01,1,5.27,450,2550
2022-01-01,2,4.99,550,2900
2022-01-01,1,4.55,550,2450
2022-01-01,2,4.34,850,3500
2022-01-01,3,4.39,750,3400
2022-01-01,1,4.28,550,2300
2022-01-01,1,5.12,450,2150
2022-01-01,4,4.05,1550,6100
2022-01-01,1,5.36,450,2250
2022-01-01,1,4.84,550,2550
2022-01-01,1,5.24,450,2200
2022-01-01,2,4.82,550,2800
2022-01-01,3,4.26,750,3300
2022-01-01,1,5.6,450,2350
2022-01-01,1,5.0,450,2100
2022-01-01,2,4.3,550,2500
2022-01-01,3,4.4,850,3700
2022-01-01,3,4.52,850,3800
2022-01-01,3,4.39,750,3400
2021-12-01,1,4.76,450,2000
2021-12-01,1,5.95,450,2500
2021-12-01,1,5.48,450,2300
2021-12-01,1,5.02,550,2700
2021-12-01,2,4.39,850,3600
2021-12-01,1,5.58,450,2700
2021-12-01,2,4.82,550,2800
2021-12-01,1,5.24,450,2200
2021-12-01,3,4.26,750,3300
2021-12-01,2,4.65,750,3500
2021-12-01,1,4.76,450,2100
2021-12-01,1,5.44,450,2400
2021-12-01,1,4.55,550,2400
2021-12-01,1,5.48,450,2300
2021-12-01,3,3.91,1250,4800
2021-12-01,1,4.76,450,2000
2021-12-01,1,3.57,650,2500
