date,block,beds,psf,area,price
2020-09-01,12,2,1671,754,1260000
2020-09-01,10,2,1621,581,942000
2020-09-01,12,1,1793,527,945000
2020-08-01,12,1,1745,420,733000
2020-07-01,12,1,1702,420,715000
2020-05-01,12,2,1572,807,1269000
2020-01-01,6,4,1433,1528,2190000
2020-01-01,10,2,1756,581,1020000
2019-12-01,10,1,1764,441,778000
2019-12-01,10,2,1781,581,1035000
2019-12-01,10,2,1549,581,900000
2019-12-01,10,2,1756,581,1020000
2019-07-01,6,2,1427,1205,1720000
2019-07-01,12,2,1088,1195,1300000
2019-07-01,12,2,1460,754,1101000
2019-06-01,6,3,1575,1206,1900000
2019-04-01,6,3,1373,1184,1626000
2019-03-01,10,3,1755,775,1360000
2019-02-01,8,3,1601,1152,1844000
2019-02-01,6,4,1563,1464,2288000
2019-01-01,8,4,1268,1507,1911000
2018-12-01,10,2,1635,581,950000
2018-12-01,4,3,1403,1108,1554000
2018-11-01,12,2,1514,753,1140000
2018-11-01,4,3,1044,1625,1697000
2018-09-01,6,5,975,3769,3675000
2018-09-01,10,1,1600,441,705600
2018-08-01,4,3,1032,1625,1677000
2018-08-01,4,3,1421,1108,1574000
2018-07-01,10,1,1422,441,627000
2018-07-01,10,2,1461,581,849000
2018-07-01,12,2,1457,753,1097000
2018-07-01,12,1,1169,592,692000
2018-07-01,8,4,1292,1507,1947000
2018-07-01,8,5,965,3769,3637000
2018-07-01,8,5,983,3799,3734000
2018-07-01,4,3,1403,1108,1554000
2018-07-01,4,2,1082,1216,1316000
2018-07-01,6,5,983,3799,3734000
2018-04-01,10,1,1701,441,750000
2018-04-01,12,1,1584,527,835000
2018-04-01,2,3,1689,1184,2000000
2017-11-01,6,4,1373,1507,2069000
2017-11-01,2,3,1015,1732,1758000
2017-11-01,6,4,1357,1507,2045000
2017-10-01,12,1,1538,420,646000
2017-10-01,6,3,1405,1206,1694000
2017-10-01,6,4,1292,1529,1975000
2017-10-01,2,3,1432,1184,1695000
2017-09-01,8,3,1384,1206,1669000
2017-09-01,8,4,1313,1485,1950000
2017-09-01,8,4,1331,1528,2034000
2017-09-01,6,2,1410,1205,1700000
2017-09-01,6,4,1336,1507,2014000
2017-09-01,8,4,1363,1529,2084000
2017-09-01,8,4,1327,1528,2028000
2017-09-01,8,4,1369,1485,2033000
2017-08-01,8,4,1335,1528,2040000
2017-08-01,6,4,1340,1507,2020000
2017-08-01,2,3,1393,1184,1649000
2017-08-01,8,3,1393,1227,1710000
2017-08-01,8,4,1351,1529,2065000
2017-08-01,8,3,1410,1227,1730000
2017-08-01,6,4,1375,1464,2013000
2017-08-01,6,4,1369,1507,2063000
