date,beds,psf,area,price
2019-05-01,2,2.95,950,2700
2019-05-01,3,2.74,1250,3300
2019-04-01,3,2.69,1150,3100
2019-03-01,2,2.91,1050,3100
2019-03-01,3,2.72,1250,3400
2019-02-01,3,2.63,1250,3400
2019-02-01,2,2.95,950,2800
2019-01-01,3,2.57,1650,4200
2019-01-01,3,2.72,1250,3400
2018-11-01,2,3.0,950,2750
2018-11-01,3,2.8,1250,3500
2018-11-01,2,2.58,950,2450
2018-10-01,2,2.9,950,2650
2018-10-01,2,2.65,1050,2800
2018-10-01,2,2.57,1050,2700
2018-10-01,2,2.63,950,2500
2018-10-01,2,2.67,1050,2800
2018-10-01,2,2.79,950,2650
2018-09-01,3,2.58,1250,3300
2018-09-01,2,3.28,950,3000
2018-09-01,3,2.56,1250,3200
2018-09-01,2,2.58,950,2450
2018-09-01,2,2.53,950,2400
2018-08-01,3,2.44,1250,3150
2018-08-01,2,2.77,950,2650
2018-07-01,2,2.65,1050,2800
2018-07-01,2,2.68,950,2450
2018-07-01,2,3.03,950,2900
2018-07-01,3,2.8,1250,3500
2018-07-01,2,2.79,950,2650
2018-06-01,2,2.56,1050,2700
2018-06-01,3,2.72,1250,3400
2018-06-01,2,2.95,950,2800
2018-05-01,3,2.65,1250,3400
2018-05-01,2,2.88,950,2600
2018-05-01,4,2.98,1350,4100
2018-05-01,2,2.82,1050,3000
2018-05-01,3,2.74,1250,3300
2018-05-01,3,2.56,1250,3200
2018-05-01,3,2.56,1250,3200
2018-04-01,3,2.78,1150,3200
2018-04-01,3,2.48,1250,3200
2018-04-01,3,2.87,1150,3300
2018-04-01,2,2.65,950,2400
2018-04-01,3,2.48,1150,2850
2018-03-01,2,2.99,950,2700
2018-03-01,2,2.91,1050,3100
2018-03-01,2,2.63,950,2500
2018-02-01,2,2.18,1550,3300
2018-01-01,3,2.99,1250,3600
2018-01-01,2,2.56,1050,2700
2018-01-01,3,2.74,1250,3300
2018-01-01,2,2.62,950,2400
2017-12-01,3,2.76,1250,3450
2017-12-01,2,2.99,950,2700
2017-12-01,2,2.84,950,2700
2017-11-01,2,2.54,950,2300
2017-10-01,2,2.73,950,2500
2017-10-01,3,2.45,1550,3700
2017-10-01,2,2.54,1050,2700
2017-10-01,3,2.8,1250,3500
2017-10-01,2,2.57,1050,2700
2017-09-01,3,2.64,1250,3300
2017-09-01,3,2.54,1250,3250
2017-09-01,2,2.88,950,2600
2017-08-01,3,2.44,1250,3150
2017-08-01,2,2.65,1050,2800
2017-08-01,4,2.94,1350,4050
2017-08-01,3,2.69,1150,3100
2017-08-01,2,2.58,950,2450
2017-08-01,2,2.71,1050,2850
2017-07-01,2,2.77,950,2650
2017-06-01,2,2.84,950,2600
2017-06-01,3,2.95,1150,3400
2017-04-01,3,2.73,1250,3500
2017-04-01,3,2.56,1250,3200
2017-03-01,2,2.91,1050,3100
2017-03-01,2,2.88,950,2600
2017-03-01,3,2.8,1250,3500
2017-03-01,2,2.92,950,2800
2017-03-01,2,2.74,950,2600
2017-03-01,2,2.96,1150,3400
2017-02-01,3,2.8,1250,3500
2017-01-01,3,2.57,1650,4200
2017-01-01,4,3.12,1350,4300
2016-12-01,2,2.65,1050,2800
2016-11-01,2,2.63,950,2500
2016-10-01,2,2.75,1050,2900
2016-10-01,2,2.75,1050,2900
2016-09-01,2,2.93,950,2650
2016-09-01,2,2.65,950,2400
2016-09-01,2,3.28,950,3000
2016-09-01,3,2.63,1250,3400
2016-08-01,2,2.99,950,2700
2016-08-01,3,2.55,1250,3300
2016-08-01,2,2.84,950,2700
2016-07-01,4,3.27,1350,4500
2016-07-01,3,2.9,1250,3500
2016-07-01,2,2.82,950,2700
2016-06-01,2,3.03,1050,3200
2016-05-01,2,2.46,1050,2600
2016-05-01,3,2.63,1250,3400
2016-05-01,3,3.04,1250,3800
2016-05-01,2,2.86,1050,3000
2016-04-01,2,2.65,1050,2800
2016-04-01,3,3.48,1350,4700
2016-03-01,2,3.18,950,3050
2016-03-01,2,3.15,950,2850
2016-03-01,2,3.05,950,2900
2016-03-01,2,2.96,1150,3400
2016-03-01,2,3.48,1150,4000
2016-02-01,2,3.1,950,2800
2016-02-01,2,2.18,1550,3300
2016-02-01,2,3.22,1150,3700
2016-02-01,3,2.8,1250,3500
2016-01-01,3,2.8,1250,3500
2016-01-01,4,3.27,1350,4500
2015-11-01,3,2.97,1250,3800
2015-10-01,2,3.22,1050,3400
2015-10-01,3,3.32,1250,4000
2015-09-01,2,3.32,1050,3500
2015-09-01,3,2.72,1250,3400
2015-08-01,2,2.95,950,2700
2015-08-01,3,2.55,1250,3300
2015-08-01,2,2.84,1050,3000
2015-08-01,2,3.16,950,3000
2015-08-01,2,3.16,950,3000
2015-07-01,2,3.31,950,3000
2015-07-01,2,3.37,950,3050
2015-06-01,3,2.88,1250,3600
2015-06-01,3,2.88,1250,3600
2015-06-01,3,2.73,1250,3500
2015-05-01,4,3.49,1350,4800
2015-04-01,3,2.73,1250,3500
2015-04-01,2,3.24,1050,3450
2015-04-01,2,3.32,950,3000
2015-04-01,3,3.28,1250,4100
2015-04-01,3,3.12,1250,4000
2015-04-01,3,2.8,1250,3500
2015-03-01,3,3.04,1250,3800
2015-03-01,2,3.34,950,3200
2015-03-01,3,3.12,1150,3600
