date,block,beds,psf,area,price
2013-07-01,33,2,1128,1281,1445000
2013-07-01,31,4,1387,1195,1658000
2013-07-01,31,4,1387,1195,1658000
2013-07-01,37,1,1587,581,922000
2013-07-01,31,1,1580,571,902000
2013-07-01,37,3,1417,1302,1846000
2013-07-01,37,3,1416,1303,1846000
2013-07-01,31,4,1404,1345,1889000
2013-07-01,33,2,1082,1033,1118000
2013-07-01,33,2,1505,743,1118000
2013-07-01,31,4,1405,1345,1890000
2013-06-01,35,2,1409,894,1260000
2013-06-01,37,4,1376,1388,1910000
2013-06-01,37,4,1375,1389,1910000
2013-06-01,33,2,1424,850,1210000
2013-06-01,33,2,1459,743,1084000
2013-06-01,31,1,1550,571,885000
2013-06-01,33,2,1352,1033,1397000
2013-06-01,33,2,1352,1033,1397000
2013-06-01,35,2,1415,893,1263000
2013-06-01,35,2,1415,893,1263000
2013-06-01,35,2,1398,893,1248000
2013-06-01,33,2,1545,743,1148000
2013-06-01,31,4,1401,1345,1885000
2013-06-01,35,2,1394,893,1245000
2013-06-01,37,1,1103,872,962000
2013-06-01,31,4,1429,1346,1923000
2013-06-01,31,4,1429,1346,1923000
2013-06-01,33,2,1468,829,1217000
2013-05-01,33,2,1426,861,1228000
2013-05-01,31,4,1426,1345,1918000
2013-05-01,33,2,1431,743,1063000
2013-05-01,33,2,1412,861,1216000
2013-05-01,33,2,1412,861,1216000
2013-05-01,35,1,1591,592,941800
2013-05-01,35,2,1409,894,1260000
2013-05-01,37,1,1729,571,987000
2013-05-01,31,4,1396,1346,1879000
2013-05-01,33,2,1561,710,1108000
2013-05-01,37,3,1449,1302,1886000
2013-05-01,31,2,1479,818,1210000
2013-05-01,37,3,1470,1302,1914000
2013-05-01,37,3,1470,1302,1914000
2013-05-01,31,1,1614,570,920000
2013-05-01,31,4,1431,1345,1925000
2013-05-01,37,1,1520,581,883000
2013-05-01,37,3,1397,1302,1819000
2013-05-01,37,3,1397,1302,1819000
2013-05-01,35,2,1420,958,1360000
2013-05-01,35,1,1581,506,799888
2013-05-01,37,1,1701,571,971000
2013-05-01,31,4,1366,1195,1632000
2013-05-01,31,1,1592,571,908900
2013-05-01,31,1,1027,915,940000
2013-05-01,33,2,1511,743,1123000
2013-05-01,33,3,1509,1076,1624000
2013-05-01,37,2,1430,850,1215000
2013-05-01,37,2,1461,850,1242000
2013-05-01,35,2,1377,893,1230000
2013-05-01,35,2,1427,893,1274000
2013-05-01,37,1,1600,581,929400
2013-05-01,31,4,1411,1195,1686000
2013-05-01,33,2,1520,861,1309000
2013-05-01,33,2,1520,861,1309000
2013-05-01,35,1,1565,592,926300
2013-05-01,37,2,1456,850,1238000
2013-05-01,37,2,1456,850,1238000
2013-05-01,37,1,1586,581,921200
2013-05-01,31,4,1414,1345,1902000
2013-04-01,33,2,1475,743,1096000
2013-04-01,35,1,1526,570,870000
2013-04-01,33,2,1517,861,1306000
2013-04-01,33,2,1517,861,1306000
2013-04-01,33,2,1439,818,1177000
2013-04-01,37,2,1445,851,1230000
2013-04-01,33,2,1416,861,1219000
2013-04-01,37,3,1394,1302,1815000
2013-04-01,37,3,1394,1302,1815000
2013-04-01,37,3,1456,1303,1897000
2013-04-01,31,4,1364,1195,1630000
2013-04-01,37,2,1440,862,1241000
2013-04-01,37,2,1458,851,1241000
2013-04-01,31,2,1331,947,1261000
2013-04-01,31,2,1490,818,1219000
2013-04-01,31,2,1490,818,1219000
2013-04-01,35,2,1401,818,1146000
2013-04-01,33,2,1429,861,1230000
2013-04-01,31,4,1430,1348,1928000
2013-04-01,31,4,1433,1345,1928000
2013-04-01,33,2,1465,829,1214000
2013-04-01,33,2,1464,743,1088000
2013-04-01,35,1,1520,571,868000
2013-04-01,35,2,1401,818,1146000
2013-04-01,37,2,1451,851,1235000
2013-04-01,37,4,1418,1389,1969000
2013-04-01,37,1,1591,581,924200
2013-04-01,37,1,1591,581,924200
2013-04-01,37,2,1492,850,1268000
2013-04-01,37,3,1411,1303,1838000
2013-04-01,31,4,1417,1345,1906000
2013-04-01,35,2,1442,893,1288000
2013-04-01,37,2,1462,850,1243000
2013-04-01,31,1,1616,570,921100
2013-04-01,31,2,1435,818,1174000
2013-04-01,31,4,1387,1195,1657000
2013-04-01,31,1,1633,570,931000
2013-04-01,31,4,1410,1345,1897000
2013-04-01,33,3,1344,1055,1418000
2013-04-01,33,3,1344,1055,1418000
2013-04-01,33,2,1500,710,1065000
2013-04-01,33,2,1500,710,1065000
2013-04-01,33,2,1475,861,1270000
2013-04-01,37,1,1694,571,967000
2013-04-01,37,2,1518,851,1292000
2013-04-01,31,2,1444,818,1181000
2013-04-01,31,2,1437,818,1175000
2013-04-01,31,2,1457,818,1192000
2013-04-01,33,3,1428,947,1352000
2013-04-01,33,2,1488,711,1058000
2013-04-01,33,3,1452,947,1375000
2013-04-01,33,2,1491,861,1284000
2013-04-01,33,3,1457,947,1380000
2013-04-01,33,2,1533,861,1320000
2013-04-01,33,2,1523,861,1311000
2013-04-01,33,3,1333,2637,3515000
2013-04-01,35,1,1501,484,726600
2013-04-01,35,1,1549,506,784000
2013-04-01,37,2,1411,851,1201000
2013-04-01,37,1,1558,581,905000
2013-04-01,37,3,1412,1303,1839000
2013-04-01,37,4,1422,1388,1974000
2013-04-01,37,3,1416,1302,1843000
2013-04-01,37,2,1525,851,1298000
2013-04-01,37,3,1427,1302,1858000
2013-04-01,37,2,1545,851,1315000
2013-04-01,37,2,1545,851,1315000
2013-04-01,31,4,1384,1195,1654000
2013-04-01,31,2,1440,818,1178000
2013-04-01,31,4,1378,1195,1646000
2013-04-01,31,1,1629,571,930000
2013-04-01,33,2,1444,743,1073000
2013-04-01,33,2,1444,743,1073000
2013-04-01,33,3,1290,1130,1458000
2013-04-01,33,2,1539,710,1093000
2013-04-01,33,2,1512,861,1302000
2013-04-01,33,3,1493,947,1414000
2013-04-01,33,2,1578,711,1122000
2013-04-01,35,1,1587,603,957061
2013-04-01,35,1,1538,506,778000
2013-04-01,35,1,1603,506,811000
2013-04-01,35,2,1432,818,1171000
2013-04-01,37,2,1418,851,1207000
2013-04-01,37,3,1407,1303,1833000
2013-04-01,37,2,1536,850,1306000
2013-04-01,37,1,1707,570,973170
2013-04-01,37,4,1447,1388,2009000
2013-04-01,31,2,1430,818,1170000
2013-04-01,31,2,1430,818,1170000
2013-04-01,31,4,1379,1195,1648000
2013-04-01,31,1,1591,570,907000
2013-04-01,31,1,1591,570,907000
2013-04-01,31,2,1485,818,1215000
2013-04-01,31,2,1485,818,1215000
2013-04-01,31,4,1431,1195,1710000
2013-04-01,33,3,1296,1130,1465000
2013-04-01,33,2,1496,710,1062000
2013-04-01,33,3,1468,947,1390000
2013-04-01,35,2,1363,818,1115000
2013-04-01,35,1,1523,484,737000
2013-04-01,35,1,1523,484,737000
2013-04-01,37,1,1572,570,896000
2013-04-01,37,2,1418,850,1205000
2013-04-01,37,2,1476,850,1255000
2013-04-01,37,1,1565,581,909000
2013-04-01,37,4,1425,1389,1979000
2013-04-01,37,2,1511,850,1284000
2013-04-01,37,1,1708,571,975000
2013-04-01,37,2,1512,850,1285000
2013-04-01,37,4,1436,1388,1994000
2013-04-01,31,1,1538,571,878000
2013-04-01,31,4,1371,1195,1638000
2013-04-01,31,2,1457,818,1192000
2013-04-01,31,2,1451,818,1187000
2013-04-01,31,2,1453,818,1189000
2013-04-01,31,2,1462,818,1196000
2013-04-01,31,1,1451,581,843000
2013-04-01,33,2,1478,711,1051000
2013-04-01,33,3,1423,947,1348000
2013-04-01,33,2,1486,710,1055000
2013-04-01,33,3,1432,947,1356000
2013-04-01,33,3,1436,947,1360000
2013-04-01,33,2,1538,710,1092000
2013-04-01,33,2,1538,710,1092000
2013-04-01,33,3,1456,947,1379000
2013-04-01,33,2,1528,829,1267000
2013-04-01,33,2,1490,743,1107000
2013-04-01,33,2,1558,710,1106000
2013-04-01,35,2,1411,958,1352000
2013-04-01,35,1,1534,506,776100
2013-04-01,35,2,1433,818,1172000
2013-04-01,35,1,1603,506,811000
2013-04-01,35,1,1581,484,765000
2013-04-01,37,1,1518,581,882000
2013-04-01,37,1,1518,581,882000
2013-04-01,37,1,1523,581,885000
2013-04-01,37,2,1452,850,1234000
2013-04-01,37,1,1700,570,969200
2013-04-01,37,4,1436,1389,1994000
2013-04-01,31,2,1334,947,1263000
2013-04-01,31,1,1559,571,890000
2013-04-01,31,2,1435,818,1174000
2013-04-01,31,1,1430,581,831000
2013-04-01,31,1,1605,570,915000
2013-04-01,31,1,1437,581,835000
2013-04-01,31,2,1474,818,1206000
2013-04-01,31,4,1406,1346,1892000
2013-04-01,31,4,1410,1194,1683000
2013-04-01,31,4,1421,1195,1698000
2013-04-01,33,3,1300,1130,1469000
2013-04-01,33,3,1451,947,1374000
2013-04-01,33,2,1527,710,1084000
2013-04-01,33,2,1527,710,1084000
2013-04-01,33,3,1461,947,1384000
2013-04-01,33,2,1485,861,1279000
2013-04-01,33,2,1533,829,1271000
2013-04-01,33,2,1524,829,1263000
2013-04-01,33,3,1602,1076,1724000
2013-04-01,33,2,1545,710,1097000
2013-04-01,33,2,1544,829,1280000
2013-04-01,33,2,1534,829,1272000
2013-04-01,33,3,1488,947,1409000
2013-04-01,33,2,1572,829,1303000
2013-04-01,35,1,1538,506,778000
2013-04-01,35,1,1561,506,790000
2013-04-01,35,1,1538,506,778000
2013-04-01,35,1,1551,506,785000
2013-04-01,35,1,1549,506,784000
2013-04-01,35,1,1625,506,822000
2013-04-01,37,1,1503,581,873000
2013-04-01,37,1,1508,581,876000
2013-04-01,37,2,1431,851,1218000
2013-04-01,37,4,1414,1388,1963000
2013-04-01,37,2,1516,850,1289000
2013-04-01,37,1,1573,581,914000
2013-04-01,37,3,1419,1302,1848000
2013-04-01,37,4,1443,1389,2004000
2013-04-01,31,2,1428,818,1168000
2013-04-01,31,2,1428,818,1168000
2013-04-01,31,1,1372,581,797000
2013-04-01,31,1,1377,581,800000
2013-04-01,31,2,1446,818,1183000
2013-04-01,31,1,1655,571,945000
2013-04-01,33,3,1463,947,1385000
2013-04-01,33,2,1550,711,1102000
2013-04-01,33,2,1555,829,1289000
2013-04-01,33,2,1555,829,1289000
2013-04-01,33,2,1533,743,1139000
2013-04-01,35,2,1392,818,1139000
2013-04-01,35,2,1392,818,1139000
2013-04-01,35,1,1528,506,773100
2013-04-01,35,1,1523,484,737000
2013-04-01,35,1,1523,484,737000
2013-04-01,35,1,1557,592,922000
2013-04-01,35,1,1587,506,802800
2013-04-01,31,1,1367,581,794000
2013-04-01,31,2,1422,818,1163000
2013-04-01,31,2,1463,818,1197000
2013-03-01,33,2,1506,861,1297000
2013-03-01,33,2,1550,829,1285000
2013-03-01,35,1,1517,484,734000
2013-03-01,35,1,1528,506,773100
2013-03-01,31,2,1452,818,1188000
2013-03-01,31,1,1584,570,903000
2013-03-01,31,1,1423,581,827000
2013-03-01,31,1,1444,581,839000
2013-03-01,31,4,1435,1345,1931000
2013-03-01,33,3,1293,1130,1461000
2013-03-01,33,2,1568,711,1115000
2013-03-01,35,1,1497,592,886000
2013-03-01,35,1,1529,484,740000
2013-03-01,35,1,1581,484,765000
2013-03-01,37,2,1446,850,1229000
2013-03-01,37,4,1418,1389,1969000
2013-03-01,31,2,1473,818,1205000
2013-03-01,31,2,1473,818,1205000
2013-03-01,31,1,1458,581,847000
2013-03-01,33,2,1443,861,1242000
2013-03-01,33,2,1522,829,1262000
2013-03-01,33,2,1517,861,1306000
2013-03-01,37,2,1444,851,1229000
2013-03-01,37,2,1446,850,1229000
2013-03-01,31,4,1387,1195,1658000
2013-03-01,31,4,1387,1195,1658000
2013-03-01,31,2,1496,818,1224000
2013-03-01,33,2,1483,743,1102000
2013-03-01,37,2,1515,850,1288000
2013-03-01,37,2,1452,850,1234000
2013-03-01,37,2,1521,850,1293000
2013-03-01,31,1,1410,581,819000
2013-03-01,31,1,1465,581,851000
2013-03-01,31,4,1413,1195,1688000
2013-03-01,31,4,1383,1195,1653000
2013-03-01,31,2,1479,818,1210000
2013-03-01,31,2,1479,818,1210000
2013-03-01,33,3,1605,1077,1729000
2013-03-01,31,2,1457,818,1192000
2013-03-01,37,1,1566,571,894000
2013-03-01,37,2,1436,850,1221000
2013-03-01,31,4,1386,1195,1656000
